x (mm),Ic(A),Adjusted x(mm),Ic Calibrated (A),4 Reading Running Avg,3 Reading Running Avg,2 Reading Running Avg,30 % drop line,,,,,,,,,,,,
289.53,8.11,-254.08,12.35,18.63,21.91,18.21,57.75,,,,,,,,,,,,
291.49,15.81,-252.12,24.07,22.51,20.73,26.69,57.75,,,,,,,,,,,,
293.45,19.25,-250.16,29.31,22.24,21.98,19.06,57.75,,,,,,,,,,,,
295.43,5.78,-248.18,8.80,18.97,19.89,18.32,57.75,,,,,,,,,,,,
297.41,18.28,-246.20,27.84,21.55,22.36,25.43,57.75,,,,,,,,,,,,
299.39,15.12,-244.22,23.02,20.47,19.46,19.62,57.75,,,,,,,,,,,,
301.37,10.65,-242.24,16.22,19.06,19.61,17.68,57.75,,,,,,,,,,,,
303.36,12.57,-240.25,19.14,20.26,20.01,21.31,57.75,,,,,,,,,,,,
305.34,15.42,-238.27,23.48,19.21,20.64,20.45,57.75,,,,,,,,,,,,
307.32,11.44,-236.29,17.42,22.20,17.79,19.22,57.75,,,,,,,,,,,,
309.3,13.8,-234.31,21.01,24.90,23.79,17.97,57.75,,,,,,,,,,,,
311.28,9.8,-232.33,14.92,26.14,26.20,25.18,57.75,,,,,,,,,,,,
313.27,23.27,-230.34,35.43,28.07,29.88,31.84,57.75,,,,,,,,,,,,
315.25,18.55,-228.36,28.25,25.73,25.61,27.10,57.75,,,,,,,,,,,,
317.23,17.04,-226.38,25.95,23.74,24.89,24.29,57.75,,,,,,,,,,,,
319.21,14.87,-224.40,22.64,25.01,23.00,24.36,57.75,,,,,,,,,,,,
321.19,17.13,-222.42,26.08,22.20,25.80,23.18,57.75,,,,,,,,,,,,
323.18,13.31,-220.43,20.27,21.79,20.90,25.67,57.75,,,,,,,,,,,,
325.16,20.4,-218.45,31.06,19.80,22.30,21.22,57.75,,,,,,,,,,,,
327.14,7.47,-216.47,11.37,18.80,16.05,17.92,57.75,,,,,,,,,,,,
329.12,16.07,-214.49,24.47,19.93,21.28,18.39,57.75,,,,,,,,,,,,
331.11,8.08,-212.50,12.30,17.61,18.41,19.68,57.75,,,,,,,,,,,,
333.09,17.77,-210.52,27.06,22.59,19.38,21.47,57.75,,,,,,,,,,,,
335.07,10.43,-208.54,15.88,17.97,21.10,15.54,57.75,,,,,,,,,,,,
337.05,9.98,-206.56,15.20,18.34,18.66,23.71,57.75,,,,,,,,,,,,
339.03,21.16,-204.58,32.22,19.69,19.39,20.40,57.75,,,,,,,,,,,,
341.02,5.63,-202.59,8.57,15.95,15.52,12.97,57.75,,,,,,,,,,,,
342.99,11.41,-200.62,17.37,18.92,18.41,18.99,57.75,,,,,,,,,,,,
344.95,13.53,-198.66,20.60,17.66,19.43,18.93,57.75,,,,,,,,,,,,
346.9,11.34,-196.71,17.27,19.17,16.67,18.84,57.75,,,,,,,,,,,,
348.86,13.41,-194.75,20.42,19.34,19.81,16.38,57.75,,,,,,,,,,,,
350.82,8.1,-192.79,12.33,19.51,18.98,19.51,57.75,,,,,,,,,,,,
352.78,17.52,-190.83,26.68,20.44,21.90,22.31,57.75,,,,,,,,,,,,
354.73,11.78,-188.88,17.94,19.56,18.36,19.51,57.75,,,,,,,,,,,,
356.69,13.84,-186.92,21.07,20.78,20.10,18.57,57.75,,,,,,,,,,,,
358.65,10.55,-184.96,16.06,17.73,20.68,19.61,57.75,,,,,,,,,,,,
360.61,15.21,-183.00,23.16,15.79,18.28,22.99,57.75,,,,,,,,,,,,
362.56,14.99,-181.05,22.83,15.87,13.34,15.84,57.75,,,,,,,,,,,,
364.52,5.82,-179.09,8.86,14.80,13.55,8.60,57.75,,,,,,,,,,,,
366.48,5.47,-177.13,8.33,15.42,16.78,15.90,57.75,,,,,,,,,,,,
368.44,15.41,-175.17,23.46,19.69,17.78,21.00,57.75,,,,,,,,,,,,
370.39,12.17,-173.22,18.53,19.02,18.43,14.94,57.75,,,,,,,,,,,,
372.35,7.45,-171.26,11.34,19.41,19.18,18.38,57.75,,,,,,,,,,,,
374.31,16.69,-169.30,25.41,21.98,22.10,23.10,57.75,,,,,,,,,,,,
376.26,13.65,-167.35,20.78,22.23,20.84,20.45,57.75,,,,,,,,,,,,
378.22,13.21,-165.39,20.11,22.08,22.71,20.86,57.75,,,,,,,,,,,,
380.18,14.19,-163.43,21.61,23.87,22.74,24.01,57.75,,,,,,,,,,,,
382.14,17.34,-161.47,26.40,25.46,24.62,23.30,57.75,,,,,,,,,,,,
384.09,13.27,-159.52,20.21,24.82,25.15,23.73,57.75,,,,,,,,,,,,
386.05,17.9,-157.56,27.26,24.91,26.36,27.62,57.75,,,,,,,,,,,,
388.01,18.38,-155.60,27.99,22.81,24.13,25.92,57.75,,,,,,,,,,,,
389.97,15.66,-153.64,23.85,19.87,21.08,22.20,57.75,,,,,,,,,,,,
391.93,13.5,-151.68,20.56,18.62,18.55,19.70,57.75,,,,,,,,,,,,
393.91,12.38,-149.70,18.85,17.71,17.97,17.54,57.75,,,,,,,,,,,,
